procID,event_type,cs_clock,real_clock,human_date,anomaly
1,LEAVE,92,1688295194,2023-07-02 10:53:14,False
33,ACCESS,93,1688295195,2023-07-02 10:53:15,False
33,LEAVE,94,1688295198,2023-07-02 10:53:18,False
12,ACCESS,95,1688295200,2023-07-02 10:53:20,False
12,LEAVE,96,1688295203,2023-07-02 10:53:23,False
50,ACCESS,97,1688295205,2023-07-02 10:53:25,False
50,LEAVE,98,1688295208,2023-07-02 10:53:28,False
81,ACCESS,99,1688295209,2023-07-02 10:53:29,False
81,LEAVE,100,1688295212,2023-07-02 10:53:32,False
2,ACCESS,101,1688295213,2023-07-02 10:53:33,False
2,LEAVE,102,1688295216,2023-07-02 10:53:36,False
35,ACCESS,103,1688295218,2023-07-02 10:53:38,False
35,LEAVE,104,1688295221,2023-07-02 10:53:41,False
49,ACCESS,105,1688295224,2023-07-02 10:53:44,False
49,LEAVE,106,1688295227,2023-07-02 10:53:47,False
4,ACCESS,107,1688295229,2023-07-02 10:53:49,False
4,LEAVE,108,1688295232,2023-07-02 10:53:52,False
23,ACCESS,109,1688295234,2023-07-02 10:53:54,False
23,LEAVE,110,1688295237,2023-07-02 10:53:57,False
96,ACCESS,111,1688295238,2023-07-02 10:53:58,False
96,LEAVE,112,1688295241,2023-07-02 10:54:01,False
5,ACCESS,113,1688295243,2023-07-02 10:54:03,False
5,LEAVE,114,1688295246,2023-07-02 10:54:06,False
85,ACCESS,115,1688295247,2023-07-02 10:54:07,False
85,LEAVE,116,1688295250,2023-07-02 10:54:10,False
72,ACCESS,117,1688295252,2023-07-02 10:54:12,False
72,LEAVE,118,1688295255,2023-07-02 10:54:15,False
29,ACCESS,119,1688295256,2023-07-02 10:54:16,False
29,LEAVE,120,1688295259,2023-07-02 10:54:19,False
48,ACCESS,121,1688295261,2023-07-02 10:54:21,False
48,LEAVE,122,1688295264,2023-07-02 10:54:24,False
51,ACCESS,123,1688295265,2023-07-02 10:54:25,False
51,LEAVE,124,1688295268,2023-07-02 10:54:28,False
89,ACCESS,125,1688295270,2023-07-02 10:54:30,False
89,LEAVE,126,1688295273,2023-07-02 10:54:33,False
95,ACCESS,127,1688295274,2023-07-02 10:54:34,False
95,LEAVE,128,1688295277,2023-07-02 10:54:37,False
73,ACCESS,129,1688295279,2023-07-02 10:54:39,False
73,LEAVE,130,1688295282,2023-07-02 10:54:42,False
80,ACCESS,131,1688295284,2023-07-02 10:54:44,False
80,LEAVE,132,1688295287,2023-07-02 10:54:47,False
32,ACCESS,133,1688295288,2023-07-02 10:54:48,False
32,LEAVE,134,1688295291,2023-07-02 10:54:51,False
45,ACCESS,135,1688295293,2023-07-02 10:54:53,False
45,LEAVE,136,1688295296,2023-07-02 10:54:56,False
26,ACCESS,137,1688295298,2023-07-02 10:54:58,False
26,LEAVE,138,1688295301,2023-07-02 10:55:01,False
40,ACCESS,139,1688295302,2023-07-02 10:55:02,False
40,LEAVE,140,1688295305,2023-07-02 10:55:05,False
56,ACCESS,141,1688295306,2023-07-02 10:55:06,False
56,LEAVE,142,1688295309,2023-07-02 10:55:09,False
66,ACCESS,143,1688295311,2023-07-02 10:55:11,False
66,LEAVE,144,1688295314,2023-07-02 10:55:14,False
99,ACCESS,145,1688295316,2023-07-02 10:55:16,False
99,LEAVE,146,1688295319,2023-07-02 10:55:19,False
9,ACCESS,147,1688295321,2023-07-02 10:55:21,False
9,LEAVE,148,1688295324,2023-07-02 10:55:24,False
58,ACCESS,149,1688295326,2023-07-02 10:55:26,False
58,LEAVE,150,1688295329,2023-07-02 10:55:29,False
77,ACCESS,151,1688295331,2023-07-02 10:55:31,False
77,LEAVE,152,1688295334,2023-07-02 10:55:34,False
91,ACCESS,153,1688295335,2023-07-02 10:55:35,False
91,LEAVE,154,1688295338,2023-07-02 10:55:38,False
46,ACCESS,155,1688295339,2023-07-02 10:55:39,False
46,LEAVE,156,1688295342,2023-07-02 10:55:42,False
19,ACCESS,157,1688295344,2023-07-02 10:55:44,False
19,LEAVE,158,1688295347,2023-07-02 10:55:47,False
43,ACCESS,159,1688295349,2023-07-02 10:55:49,False
43,LEAVE,160,1688295352,2023-07-02 10:55:52,False
24,ACCESS,161,1688295354,2023-07-02 10:55:54,False
24,LEAVE,162,1688295357,2023-07-02 10:55:57,False
100,ACCESS,163,1688295360,2023-07-02 10:56:00,False
100,LEAVE,164,1688295363,2023-07-02 10:56:03,False
11,ACCESS,165,1688295364,2023-07-02 10:56:04,False
11,LEAVE,166,1688295367,2023-07-02 10:56:07,False
27,ACCESS,167,1688295369,2023-07-02 10:56:09,False
27,LEAVE,168,1688295372,2023-07-02 10:56:12,False
8,ACCESS,169,1688295373,2023-07-02 10:56:13,False
8,LEAVE,170,1688295376,2023-07-02 10:56:16,False
30,ACCESS,171,1688295378,2023-07-02 10:56:18,False
30,LEAVE,172,1688295381,2023-07-02 10:56:21,False
82,ACCESS,173,1688295382,2023-07-02 10:56:22,False
82,LEAVE,174,1688295385,2023-07-02 10:56:25,False
18,ACCESS,175,1688295387,2023-07-02 10:56:27,False
18,LEAVE,176,1688295390,2023-07-02 10:56:30,False
68,ACCESS,177,1688295393,2023-07-02 10:56:33,False
68,LEAVE,178,1688295396,2023-07-02 10:56:36,False
65,ACCESS,179,1688295398,2023-07-02 10:56:38,False
