procID,event_type,cs_clock,real_clock,human_date,anomaly
44,ACCESS,105,1688293638,2023-07-02 10:27:18,False
44,LEAVE,106,1688293641,2023-07-02 10:27:21,False
39,ACCESS,107,1688293643,2023-07-02 10:27:23,False
39,LEAVE,108,1688293646,2023-07-02 10:27:26,False
67,ACCESS,109,1688293649,2023-07-02 10:27:29,False
67,LEAVE,110,1688293652,2023-07-02 10:27:32,False
82,ACCESS,111,1688293655,2023-07-02 10:27:35,False
82,LEAVE,112,1688293658,2023-07-02 10:27:38,False
86,ACCESS,113,1688293669,2023-07-02 10:27:49,False
86,LEAVE,114,1688293672,2023-07-02 10:27:52,False
73,ACCESS,115,1688293675,2023-07-02 10:27:55,False
73,LEAVE,116,1688293678,2023-07-02 10:27:58,False
70,ACCESS,117,1688293680,2023-07-02 10:28:00,False
70,LEAVE,118,1688293683,2023-07-02 10:28:03,False
16,ACCESS,119,1688293687,2023-07-02 10:28:07,False
16,LEAVE,120,1688293690,2023-07-02 10:28:10,False
2,ACCESS,121,1688293693,2023-07-02 10:28:13,False
2,LEAVE,122,1688293696,2023-07-02 10:28:16,False
6,ACCESS,123,1688293711,2023-07-02 10:28:31,False
6,LEAVE,124,1688293714,2023-07-02 10:28:34,False
3,ACCESS,125,1688293726,2023-07-02 10:28:46,False
3,LEAVE,126,1688293729,2023-07-02 10:28:49,False
24,ACCESS,127,1688293732,2023-07-02 10:28:52,False
24,LEAVE,128,1688293735,2023-07-02 10:28:55,False
21,ACCESS,129,1688293747,2023-07-02 10:29:07,False
21,LEAVE,130,1688293750,2023-07-02 10:29:10,False
91,ACCESS,131,1688293761,2023-07-02 10:29:21,False
91,LEAVE,132,1688293764,2023-07-02 10:29:24,False
29,ACCESS,133,1688293767,2023-07-02 10:29:27,False
29,LEAVE,134,1688293770,2023-07-02 10:29:30,False
92,ACCESS,135,1688293777,2023-07-02 10:29:37,False
92,LEAVE,136,1688293780,2023-07-02 10:29:40,False
37,ACCESS,137,1688293783,2023-07-02 10:29:43,False
37,LEAVE,138,1688293786,2023-07-02 10:29:46,False
49,ACCESS,139,1688293789,2023-07-02 10:29:49,False
49,LEAVE,140,1688293792,2023-07-02 10:29:52,False
41,ACCESS,141,1688293803,2023-07-02 10:30:03,False
41,LEAVE,142,1688293806,2023-07-02 10:30:06,False
59,ACCESS,143,1688293809,2023-07-02 10:30:09,False
59,LEAVE,144,1688293812,2023-07-02 10:30:12,False
43,ACCESS,145,1688293819,2023-07-02 10:30:19,False
43,LEAVE,146,1688293822,2023-07-02 10:30:22,False
61,ACCESS,147,1688293825,2023-07-02 10:30:25,False
61,LEAVE,148,1688293828,2023-07-02 10:30:28,False
18,ACCESS,149,1688293831,2023-07-02 10:30:31,False
18,LEAVE,150,1688293834,2023-07-02 10:30:34,False
13,ACCESS,151,1688293845,2023-07-02 10:30:45,False
13,LEAVE,152,1688293848,2023-07-02 10:30:48,False
5,ACCESS,153,1688293851,2023-07-02 10:30:51,False
5,LEAVE,154,1688293854,2023-07-02 10:30:54,False
26,ACCESS,155,1688293858,2023-07-02 10:30:58,False
26,LEAVE,156,1688293861,2023-07-02 10:31:01,False
1,ACCESS,157,1688293868,2023-07-02 10:31:08,False
1,LEAVE,158,1688293871,2023-07-02 10:31:11,False
66,ACCESS,159,1688293874,2023-07-02 10:31:14,False
66,LEAVE,160,1688293877,2023-07-02 10:31:17,False
89,ACCESS,161,1688293880,2023-07-02 10:31:20,False
89,LEAVE,162,1688293883,2023-07-02 10:31:23,False
47,ACCESS,163,1688293885,2023-07-02 10:31:25,False
47,LEAVE,164,1688293888,2023-07-02 10:31:28,False
97,ACCESS,165,1688293900,2023-07-02 10:31:40,False
97,LEAVE,166,1688293903,2023-07-02 10:31:43,False
99,ACCESS,167,1688293914,2023-07-02 10:31:54,False
99,LEAVE,168,1688293917,2023-07-02 10:31:57,False
85,ACCESS,169,1688293920,2023-07-02 10:32:00,False
85,LEAVE,170,1688293923,2023-07-02 10:32:03,False
100,ACCESS,171,1688293929,2023-07-02 10:32:09,False
100,LEAVE,172,1688293932,2023-07-02 10:32:12,False
19,ACCESS,173,1688293936,2023-07-02 10:32:16,False
19,LEAVE,174,1688293939,2023-07-02 10:32:19,False
54,ACCESS,175,1688293942,2023-07-02 10:32:22,False
54,LEAVE,176,1688293945,2023-07-02 10:32:25,False
10,ACCESS,177,1688293948,2023-07-02 10:32:28,False
10,LEAVE,178,1688293951,2023-07-02 10:32:31,False
63,ACCESS,179,1688293954,2023-07-02 10:32:34,False
63,LEAVE,180,1688293957,2023-07-02 10:32:37,False
8,ACCESS,181,1688293964,2023-07-02 10:32:44,False
8,LEAVE,182,1688293967,2023-07-02 10:32:47,False
22,ACCESS,183,1688293970,2023-07-02 10:32:50,False
22,LEAVE,184,1688293973,2023-07-02 10:32:53,False
62,ACCESS,185,1688293985,2023-07-02 10:33:05,False
62,LEAVE,186,1688293988,2023-07-02 10:33:08,False
81,ACCESS,187,1688293990,2023-07-02 10:33:10,False
81,LEAVE,188,1688293993,2023-07-02 10:33:13,False
51,ACCESS,189,1688294005,2023-07-02 10:33:25,False
51,LEAVE,190,1688294008,2023-07-02 10:33:28,False
72,ACCESS,191,1688294011,2023-07-02 10:33:31,False
72,LEAVE,192,1688294014,2023-07-02 10:33:34,False
33,ACCESS,193,1688294017,2023-07-02 10:33:37,False
33,LEAVE,194,1688294020,2023-07-02 10:33:40,False
77,ACCESS,195,1688294026,2023-07-02 10:33:46,False
77,LEAVE,196,1688294029,2023-07-02 10:33:49,False
50,ACCESS,197,1688294032,2023-07-02 10:33:52,False
50,LEAVE,198,1688294035,2023-07-02 10:33:55,False
46,ACCESS,199,1688294046,2023-07-02 10:34:06,False
46,LEAVE,200,1688294049,2023-07-02 10:34:09,False
76,ACCESS,201,1688294061,2023-07-02 10:34:21,False
76,LEAVE,202,1688294064,2023-07-02 10:34:24,False
65,ACCESS,203,1688294067,2023-07-02 10:34:27,False
65,LEAVE,204,1688294070,2023-07-02 10:34:30,False
15,ACCESS,205,1688294082,2023-07-02 10:34:42,False
15,LEAVE,206,1688294085,2023-07-02 10:34:45,False
87,ACCESS,207,1688294087,2023-07-02 10:34:47,False
87,LEAVE,208,1688294090,2023-07-02 10:34:50,False
88,ACCESS,209,1688294102,2023-07-02 10:35:02,False
88,LEAVE,210,1688294105,2023-07-02 10:35:05,False
56,ACCESS,211,1688294107,2023-07-02 10:35:07,False
56,LEAVE,212,1688294110,2023-07-02 10:35:10,False
14,ACCESS,213,1688294113,2023-07-02 10:35:13,False
14,LEAVE,214,1688294116,2023-07-02 10:35:16,False
83,ACCESS,215,1688294118,2023-07-02 10:35:18,False
83,LEAVE,216,1688294121,2023-07-02 10:35:21,False
35,ACCESS,217,1688294124,2023-07-02 10:35:24,False
35,LEAVE,218,1688294127,2023-07-02 10:35:27,False
58,ACCESS,219,1688294130,2023-07-02 10:35:30,False
58,LEAVE,220,1688294133,2023-07-02 10:35:33,False
11,ACCESS,221,1688294137,2023-07-02 10:35:37,False
11,LEAVE,222,1688294140,2023-07-02 10:35:40,False
25,ACCESS,223,1688294142,2023-07-02 10:35:42,False
25,LEAVE,224,1688294145,2023-07-02 10:35:45,False
31,ACCESS,225,1688294152,2023-07-02 10:35:52,False
31,LEAVE,226,1688294155,2023-07-02 10:35:55,False
32,ACCESS,227,1688294167,2023-07-02 10:36:07,False
32,LEAVE,228,1688294170,2023-07-02 10:36:10,False
45,ACCESS,229,1688294172,2023-07-02 10:36:12,False
45,LEAVE,230,1688294175,2023-07-02 10:36:15,False
34,ACCESS,231,1688294184,2023-07-02 10:36:24,False
34,LEAVE,232,1688294187,2023-07-02 10:36:27,False
80,ACCESS,233,1688294190,2023-07-02 10:36:30,False
80,LEAVE,234,1688294193,2023-07-02 10:36:33,False
79,ACCESS,235,1688294204,2023-07-02 10:36:44,False
79,LEAVE,236,1688294207,2023-07-02 10:36:47,False
53,ACCESS,237,1688294210,2023-07-02 10:36:50,False
53,LEAVE,238,1688294213,2023-07-02 10:36:53,False
17,ACCESS,239,1688294216,2023-07-02 10:36:56,False
17,LEAVE,240,1688294219,2023-07-02 10:36:59,False
75,ACCESS,241,1688294221,2023-07-02 10:37:01,False
75,LEAVE,242,1688294224,2023-07-02 10:37:04,False
60,ACCESS,243,1688294227,2023-07-02 10:37:07,False
60,LEAVE,244,1688294230,2023-07-02 10:37:10,False
55,ACCESS,245,1688294246,2023-07-02 10:37:26,False
55,LEAVE,246,1688294249,2023-07-02 10:37:29,False
9,ACCESS,247,1688294251,2023-07-02 10:37:31,False
9,LEAVE,248,1688294254,2023-07-02 10:37:34,False
7,ACCESS,249,1688294266,2023-07-02 10:37:46,False
7,LEAVE,250,1688294269,2023-07-02 10:37:49,False
4,ACCESS,251,1688294281,2023-07-02 10:38:01,False
4,LEAVE,252,1688294284,2023-07-02 10:38:04,False
12,ACCESS,253,1688294287,2023-07-02 10:38:07,False
12,LEAVE,254,1688294290,2023-07-02 10:38:10,False
95,ACCESS,255,1688294292,2023-07-02 10:38:12,False
95,LEAVE,256,1688294295,2023-07-02 10:38:15,False
69,ACCESS,257,1688294299,2023-07-02 10:38:19,False
69,LEAVE,258,1688294302,2023-07-02 10:38:22,False
28,ACCESS,259,1688294304,2023-07-02 10:38:24,False
28,LEAVE,260,1688294307,2023-07-02 10:38:27,False
96,ACCESS,261,1688294310,2023-07-02 10:38:30,False
96,LEAVE,262,1688294313,2023-07-02 10:38:33,False
23,ACCESS,263,1688294320,2023-07-02 10:38:40,False
23,LEAVE,264,1688294323,2023-07-02 10:38:43,False
57,ACCESS,265,1688294326,2023-07-02 10:38:46,False
57,LEAVE,266,1688294329,2023-07-02 10:38:49,False
90,ACCESS,267,1688294331,2023-07-02 10:38:51,False
90,LEAVE,268,1688294334,2023-07-02 10:38:54,False
30,ACCESS,269,1688294345,2023-07-02 10:39:05,False
30,LEAVE,270,1688294348,2023-07-02 10:39:08,False
48,ACCESS,271,1688294352,2023-07-02 10:39:12,False
48,LEAVE,272,1688294355,2023-07-02 10:39:15,False
74,ACCESS,273,1688294358,2023-07-02 10:39:18,False
74,LEAVE,274,1688294361,2023-07-02 10:39:21,False
84,ACCESS,275,1688294373,2023-07-02 10:39:33,False
84,LEAVE,276,1688294376,2023-07-02 10:39:36,False
52,ACCESS,277,1688294379,2023-07-02 10:39:39,False
52,LEAVE,278,1688294382,2023-07-02 10:39:42,False
71,ACCESS,279,1688294385,2023-07-02 10:39:45,False
71,LEAVE,280,1688294388,2023-07-02 10:39:48,False
27,ACCESS,281,1688294391,2023-07-02 10:39:51,False
27,LEAVE,282,1688294394,2023-07-02 10:39:54,False
38,ACCESS,283,1688294397,2023-07-02 10:39:57,False
,END,284,1688294397,2023-07-02 10:39:57,False
